"geoAreaCode","geoAreaName","goal1","goal2","goal3","goal4","goal5","goal6","goal7","goal8","goal9","goal10","goal11","goal12","goal13","goal14","goal15","goal16","goal17"
"792","Turkey","48.62","58.33","77.05","44.67","15.28","48.71","100","56.25","79.69","66.67","29.44","35.45","15","53.33","47.38","20.83","60.19"
"795","Turkmenistan","16.67","70.83","58.46","17","8.33","45.58","100","33.33","46.88","33.33","5.56","24.55","0","37.5","47.38","14.44","32.79"
"798","Tuvalu","16.67","65.63","30.64","30.62","9.72","53.96","100","16.67","35.94","28.33","16.67","15.45","13.33","36.67","39.05","9.72","34.04"
"800","Uganda","38.5","65.63","78.85","10","25","70.06","100","29.17","46.88","46.67","39.63","36.26","16","37.5","47.38","20.83","59.4"
"804","Ukraine","56.19","65.63","61.22","19.79","22.22","62.81","60","56.25","83.93","51.85","35.56","32.65","21","36.67","47.38","11.52","55.88"
"784","United Arab Emirates","14.98","56.25","75.13","43.9","36.11","32.21","80","27.08","67.19","48.57","12.78","40.67","7.33","43.33","36.96","13.06","38.78"
"826","United Kingdom of Great Britain and Northern Ireland","36.19","62.5","71.79","26.67","25","62.81","60","62.5","83.93","61.11","15.56","27.17","17","63.33","47.38","3.33","43.38"
"834","United Republic of Tanzania","43.62","70.83","65.38","17.1","26.39","65.75","100","37.5","60.94","53.33","35","23.87","16.67","43.33","47.38","16.67","59.86"
"840","United States of America","33.89","70.83","79.49","21.85","25","56.1","60","56.25","83.93","48.41","22.78","24.17","20.33","63.33","45","16.21","49.63"
"858","Uruguay","50.12","83.33","72.31","68.14","26.39","53.92","100","72.92","79.69","53.33","15","26.36","16.33","43.33","43.21","19.86","48.09"
"860","Uzbekistan","29.76","65.63","68.97","44.9","19.44","63.29","100","43.75","78.13","46.67","16.67","35.24","0","37.5","47.38","14.44","59.2"
"548","Vanuatu","24.88","65.63","61.67","10","9.72","63.71","100","33.33","35.94","46.67","18.33","24.55","15.33","43.33","45.3","16.67","53.98"
"862","Venezuela (Bolivarian Republic of)","7.14","65.63","59.36","15.67","11.11","55.33","80","37.5","73.44","33.33","16.67","25.72","0","43.33","49.76","16.81","47.28"
"704","Viet Nam","40.71","70.83","63.21","32","22.22","58.46","100","68.75","79.69","53.81","16.67","35.45","0","53.33","47.38","13.89","53.05"
"887","Yemen","16.67","65.63","67.05","10","8.33","55.38","100","33.33","60.94","36.67","16.67","26.36","0","40","47.38","9.72","51.03"
"894","Zambia","34.93","65.63","70.51","14.29","13.89","71.63","100","64.58","65.63","46.67","28.52","26.36","9.33","37.5","47.38","16.67","58.09"
"716","Zimbabwe","37.5","70.83","72.44","17","8.33","74.75","100","41.67","59.38","36.67","25","29.44","10","37.5","47.38","16.67","59.53"
